shortlist_rank,review_rank,syndrome,feature,anatomical_region,feature_family,candidate_tier,n_disease,n_healthy,mean_disease,median_disease,mean_healthy,median_healthy,hedges_g,hedges_g_ci_95_low,hedges_g_ci_95_high,global_q,cliffs_delta,rank_biserial,effect_direction_bootstrap_stability,hedges_g_alternative,hedges_g_ci_95_low_alternative,hedges_g_ci_95_high_alternative,alternative_global_q,both_selections_significant,effect_direction_agrees,absolute_change_hedges_g,both_confidence_intervals_exclude_zero,interpretability_flag,editorial_rank_score,literature_status,clinical_interpretation,literature_search_terms
1,4,WILLIAMS-BEUREN SYNDROME; WBS,eb_thickness_mean,eyebrows,eb_thickness,primary_candidate,67,942,0.0174598946917306,0.0170574627305921,0.0152435255920658,0.0152085555704443,1.26278705539905,1.0217725976402623,1.5404061766275805,3.1494788136802073e-13,0.6026872009379852,0.6026872009379853,1.0,1.26278705539905,1.0217725976402623,1.5404061766275805,2.519583050944165e-13,True,True,0.0,True,True,14.26278705539905,unreviewed,TBD,TBD
2,7,Cornelia de Lange syndrome,philtrum_length,philtrum / mouth / lips,philtrum_length,primary_candidate,64,942,0.3480770447401193,0.3444636985099185,0.2848302841731749,0.2838415889614529,1.2804218861700882,0.9890681702133498,1.6064062947832602,7.552098962968956e-13,0.6017117834394905,0.6017117834394905,1.0,1.321004043098042,1.030106563954944,1.6417923584222844,2.519583050944165e-13,True,True,0.04058215692795386,True,True,14.199257572314181,unreviewed,TBD,TBD
3,13,WILLIAMS-BEUREN SYNDROME; WBS,outer_canthal_distance,eyes / orbital dimensions,outer_canthal_distance,primary_candidate,67,942,0.6795766255824665,0.6847856271978616,0.646208071321148,0.6447895676793544,1.1052085163812075,0.8245776659677804,1.3954665071160337,5.893184793100345e-11,0.5429223310200589,0.542922331020059,1.0,1.1052085163812075,0.8245776659677804,1.3954665071160337,5.893184793100345e-11,True,True,0.0,True,True,14.105208516381207,unreviewed,TBD,TBD
4,19,Cornelia de Lange syndrome,philtrum_width,philtrum / mouth / lips,philtrum_width,primary_candidate,64,942,0.285337685736542,0.2837071788563567,0.3008337242395867,0.2986240588266514,-1.0102511688045703,-1.2181727529013966,-0.8163757979334318,8.622968776293074e-12,-0.5742436305732485,-0.5742436305732483,1.0,-1.0394083593579828,-1.2438412682418407,-0.8452865486497055,7.991573930513238e-13,True,True,0.029157190553412482,True,True,13.951936787697745,unreviewed,TBD,TBD
5,31,Noonan syndrome,inter_pupillary_distance,ocular position / iris / gaze,inter_pupillary_distance,primary_candidate,34,942,0.4871328618934021,0.4801078308554846,0.4549316656552766,0.4546033363292034,1.318882217017805,0.8200175888304531,1.8177713414474108,2.8806779586561127e-06,0.5649431747221182,0.5649431747221181,1.0,1.316091075775544,0.8200175888304531,1.8177713414474108,2.8806779586561127e-06,True,True,0.002791141242260986,True,True,13.673299934533283,unreviewed,TBD,TBD
6,34,Mucopolysaccharidoses,chin_pointedness_angle,chin / jaw,chin_pointedness_angle,primary_candidate,37,942,157.3463931692967,156.8358558323086,151.72734318676052,151.8780219730048,1.1491547799316888,0.8582362708699979,1.4425568278665577,1.0567021673562795e-07,0.6043495725024387,0.6043495725024388,1.0,1.1842531445653712,0.8964137602807977,1.4753186873286364,4.892043882396629e-08,True,True,0.03509836463368243,True,True,13.558958050664323,unreviewed,TBD,TBD
7,38,Noonan syndrome,nose_bridge_width,nose,nose_bridge_width,primary_candidate,34,942,0.0830618392832816,0.0822878455951397,0.0792330153015402,0.0789639324344417,1.137261202117403,0.7239046399964707,1.573424316543418,1.359274111370936e-05,0.5298488822280505,0.5298488822280505,1.0,1.1379209429923067,0.7239046399964707,1.574394249987355,1.2826952881951086e-05,True,True,0.0006597408749038358,True,True,13.495941720367593,unreviewed,TBD,TBD
8,39,KBG SYNDROME; KBGS,jaw_bigonial_width,chin / jaw,jaw_bigonial_width,primary_candidate,32,942,0.7623542747291963,0.7603044882635059,0.7939531567265726,0.7939190905288416,-1.2565595356616148,-1.561786561985991,-0.9659141664412944,6.889344033793679e-08,-0.6595010615711253,-0.6595010615711252,1.0,-1.3051316961611763,-1.5725199152094884,-1.0239473399153334,1.0730787377021064e-08,True,True,0.04857216049956148,True,True,13.43941521466249,unreviewed,TBD,TBD
9,40,WIEDEMANN-STEINER SYNDROME; WDSTS,inter_canthal_distance,eyes / orbital dimensions,inter_canthal_distance,moderate_candidate,14,942,0.281648059132124,0.2823333483847163,0.2519552872906554,0.2512061827354069,1.8780167035724515,1.3350946526780614,2.4827095888007413,1.6274149381302962e-05,0.8099787685774947,0.8099787685774946,1.0,1.8780167035724515,1.3350946526780614,2.4827095888007413,1.5633342778004753e-05,True,True,0.0,True,True,13.438016703572451,unreviewed,TBD,TBD
10,42,Kabuki syndrome,outer_canthal_distance,eyes / orbital dimensions,outer_canthal_distance,primary_candidate,35,942,0.6783845122016399,0.6784835110828312,0.646208071321148,0.6447895676793544,1.0790013204294004,0.7805019629830131,1.3629520939791524,2.031458656040721e-06,0.5649984834698211,0.564998483469821,1.0,1.112128395205172,0.8188860795056576,1.4020575557263704,8.454840360442732e-07,True,True,0.03312707477577148,True,True,13.412747170877857,unreviewed,TBD,TBD
